"","29-B1","30-B1","31-B2","32-B3","33-B1","34-B1","35-B2","36-B3","37-B1","38-B2","39-B3","40-B1","41-B2","42-B3","44-B2","45-B3","46-B1","47-B2","48-B3","49-B1","50-B2","52-B1","53-B2","54-B3"
"ASV_1",1295,1053,4044,3816,7274,1831,4303,396,248,78,628,437,102,3537,7766,1534,389,2510,1017,82,1834,1224,1830,5343
"ASV_2",269,286,0,271,0,0,120,0,0,391,0,0,501,346,404,1332,0,0,1509,604,250,287,1051,0
"ASV_3",1834,0,0,58,0,0,80,620,83,348,279,0,120,0,0,122,34,0,92,545,273,90,270,0
"ASV_4",0,0,0,0,0,0,0,0,1581,489,2427,0,45,0,0,0,0,0,123,54,0,0,0,0
"ASV_5",0,198,127,0,0,0,344,456,275,229,385,0,280,188,0,0,0,0,0,0,0,1885,72,0
"ASV_6",0,100,0,428,0,0,0,0,162,192,0,0,0,139,0,0,69,0,294,935,751,0,0,0
"ASV_7",0,0,1391,0,0,0,0,753,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0
"ASV_8",352,216,0,0,0,0,0,0,370,403,239,0,0,0,0,0,0,0,0,315,227,0,359,0
"ASV_9",365,105,91,83,0,0,0,0,0,173,303,0,209,0,98,0,0,0,385,0,188,0,0,0
"ASV_10",0,0,0,0,0,1,0,0,0,0,0,0,180,768,0,0,0,0,956,0,0,0,0,0
"ASV_11",0,232,0,0,0,0,0,0,0,0,0,0,0,0,1254,0,0,0,0,0,0,0,0,372
"ASV_12",0,0,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"ASV_13",0,0,0,0,0,0,0,506,0,0,344,0,0,0,0,533,64,0,0,194,0,0,0,0
"ASV_14",352,0,0,0,0,0,0,88,0,74,108,0,0,239,0,212,0,0,123,241,0,0,0,0
"ASV_15",0,0,0,0,0,0,587,0,0,177,292,0,0,0,0,0,0,0,0,0,0,306,0,0
"ASV_16",0,0,0,0,0,0,0,0,457,100,680,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_17",77,0,0,51,0,24,20,0,124,0,24,627,0,67,0,0,0,24,76,0,0,56,0,22
"ASV_18",0,0,0,0,0,0,715,0,27,42,0,0,173,0,0,0,0,0,0,102,0,114,0,0
"ASV_19",0,0,0,563,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0
"ASV_20",0,0,798,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21",0,0,0,0,0,0,125,161,67,54,73,0,112,0,0,0,26,0,318,42,0,0,0,0
"ASV_22",239,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,238,0,0,0,0,0
"ASV_23",80,168,0,0,0,0,0,0,0,0,0,0,151,70,0,0,0,0,116,0,139,0,125,0
"ASV_24",0,0,0,0,0,0,0,0,328,141,63,0,0,0,0,0,0,0,0,169,86,0,0,0
"ASV_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761,0
"ASV_26",0,0,190,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_27",0,0,0,0,0,0,730,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV_28",0,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_29",0,0,0,34,0,0,0,99,75,248,154,0,0,20,0,0,0,0,29,0,0,67,0,0
